,0
0,TO
1,ALL
2,INTERESTED
3,CAN
4,NOT
5,GET
6,VERIFIED
7,ON
8,TWITTER
9,BEEN
10,TRYING
11,FOR
12,WHAT
13,A
14,BEAUTIFUL
15,PERSON
16,SO
17,SAD
18,IT
19,EVEN
20,HAD
21,TO
22,BE
23,A
24,CHOSE
25,GOD
26,BLESShttps
27,FreeJoeExotic
28,tigerking
29,JOE
30,IS
31,STILL
32,IN
33,QUARENTINE
34,THERE
35,ARE
36,NOT
37,CASES
38,THERE
39,FOR
40,EVERYONE
41,WHO
42,HAS
43,THIS
44,ILLNESS
45,AND
46,THAT
47,YOU
48,ALL
49,RECOVER
50,SOON
51,FOR
52,ALL
53,THE
54,SOULS
55,WE
56,HAVE
57,LOST
58,IN
59,THE
60,WORLD
61,DUE
62,TO
63,THIS
64,JOE
65,SENDS
66,HIS
67,AND
68,THANKS
69,HE
70,WILL
71,SOON
72,BE
73,BACK
74,TO
75,ANSWER
76,YOU
77,ALL
78,SOON
79,ai
80,quitting
81,Dear
82,friends
83,voters
84,supporters
85,You
86,people
87,today
88,story_fbid=993157810853022
89,id=100004764370656
90,Come
91,onhttps
92,Yes
93,come
94,every
95,one
96,expecting
97,Party
98,Packards
99,201
100,NW
101,10th
102,St
103,Oklahoma
104,City
105,Oklahoma
106,73103
107,At
108,7pm
109,…https
110,Here
111,ya
112,go
113,No
114,voters
115,788
116,running
117,polling
118,places
119,Let
120,Go
121,vote
122,joe_exotic
123,today
124,As
125,well
126,YES
127,question
128,788
129,OkLeg
130,Oklahoma
131,peeps
132,Japan
133,vote
134,please
135,go
136,vote
137,yes
138,788
139,vote
140,joe_exotic
141,governor
142,joe_exotic
143,Fix
144,shit
145,bay
146,ba
147,They
148,law
149,Go
150,back
151,make
152,Do
153,forget
154,bring
155,drivers
156,license
157,state
158,issued
159,ID
160,go
161,vote
162,give
163,excuse
164,give
165,ballot
166,Vote
167,Joe
168,Exotic
169,Governor
170,Vote
171,yes
172,788
173,GO
174,VOTE
175,JOE
176,EXOTIC
177,AND
178,YES
179,SQ788
180,GO
181,VOTE
182,YOUR
183,RIGHTS
184,DEPEND
185,ON
186,IT
187,Vote
188,joe
189,You
190,libertarian
191,til
192,vote
193,Tommarow
194,Connie
195,Johnson
196,best
197,Democrat
198,choice
199,Republicas
200,choices
201,hate
202,SQ788
203,crookshttps
204,Tomorrow
205,vote
206,Yes
207,SQ788
208,Libertarians
209,vote
210,Joe
211,Exotic
212,governor
213,Democrats
214,vote
215,Connie
216,Johnson
217,governor
218,Republicans
219,You
220,screrwed
221,must
222,waste
223,vote
224,give
225,Kevin
226,Stitt
227,Pride
228,great
229,vote
230,fixthisshit
231,On
232,meet
233,press
234,morning
235,Todd
236,Lamb
237,SQ788
238,fixthisshit
239,He
240,coolest
241,campaign
242,signs
243,Unique
244,hell
245,Not
246,block
247,red
248,letters
249,voteforjoehttps
250,Hard
251,day
252,In
253,Ontario
254,'ve
255,elected
256,someone
257,work
258,ForThePeople
259,fordnation
260,Very
261,soon
262,Oklahomans
263,choice
264,elect
265,someone
266,work
267,That
268,person
269,joe_exotic
270,He
271,going
272,FixThisShit
273,people
274,Oklahoma
275,uspoli
276,3
277,days
278,decide
279,future
280,Got
281,support
282,going
283,pride
284,put
285,200
286,yard
287,signs
288,It
289,GOP
290,They
291,would
292,let
293,either.http
294,story=38408836
295,catId=112032
296,Joe
297,Let
298,FixThisShit
299,So
300,running
301,ads
302,vote
303,SQ788
304,confuse
305,people
306,dont
307,know
308,Vote
309,yes
310,take
311,rights
312,back
313,Early
314,voters
315,messaging
316,voting
317,fixthisshit
318,Told
319,everyone
320,know
321,joe_exotic
322,right
323,choice
324,fixthisshit
325,Joe
326,Governorhttps
327,Just
328,everyday
329,hero
330,fixthisshit
331,5
332,days
333,go
334,vote
335,legalization
336,medical
337,marijuana
338,vote
339,Joe
340,Exotic
341,Oklahoma
342,governor
343,fixthisshit
344,joe_exotic
345,SPOTTED
346,Only
347,6
348,days
349,vote
350,legal
351,marijuana
352,future
353,governor
354,joe_exotic
355,You
356,ever
357,wonder
358,people
359,care
360,welfare
361,dogs
362,cats
363,cows
364,chickens
365,elderly
366,kids
367,homeless
368,people
369,Because
370,make
371,money
372,heart
373,stings
374,animals
375,sell
376,TV
377,ads
378,raise
379,money
380,animals
381,We
382,lost
383,morale
384,fixthisshit
385,BULLSHIT
386,VOTE
387,YEShttps
388,Oklahoma
389,made
390,felony
391,hire
392,illegal
393,immigrant
394,Strike
395,law
396,downhttps
397,yes
398,joe
399,preach
400,em
401,They
402,criminals
403,Then
404,let
405,kick
406,everyone
407,commits
408,crime
409,This
410,country
411,founded
412,immigrants
413,Why
414,forget
415,easy
416,But
417,kicking
418,immigrants
419,They
420,got
421,way
422,fucking
423,toll
424,roads
425,.65
426,cents
427,booth
428,No
429,pennies
430,3
431,quarters
432,They
433,make
434,dime
435,every
436,car
437,fixthisshit
438,Interesting
439,read
440,debatehttp
441,75
442,reporters
443,debate
444,today
445,would
446,think
447,something
448,would
449,online
450,And
451,maybe
452,The
453,debate
454,Shawnee
455,today
456,75
457,reporters
458,think
459,put
460,truth
461,fixthisshit
462,That
463,answer
464,certainly
465,got
466,room
467,attention
468,2
469,weeks
470,gon
471,na
472,rock
473,election
474,smoke
475,weed
476,No
477,mikey
478,bullshithttps
479,Thank
480,youhttps
481,Let
482,save
483,kids
484,Reminder
485,vote
486,joe_exotic
487,Does
488,3
489,million
490,campaign
491,fund
492,mean
493,people
494,like
495,sell
496,special
497,interest
498,groups
499,That
500,shows
501,looking
502,Future
503,pool
504,party
505,The
506,vote
507,SQ788
508,near
509,Vote
510,yes
511,vote
512,Joe
513,Exotic
514,fixthisshit
515,voteforjoehttps
516,You
517,bet
518,wouldhttps
519,Fox
520,25http
521,Let
522,ride
523,inauguration
524,like
525,The
526,apes
527,love
528,Joe
529,Exotic
530,fir
531,Top
532,15
533,Candidates
534,Oklahoma
535,Governor
536,(
537,Ranked
538,)
539,Ahead
540,Vote
541,June
542,26th
543,SQ788
544,Joe
545,Joseph
546,A
547,Maldonado-Passage
548,let
549,Tulsa
550,Pride
551,Parade
552,seeing
553,joe_exotic
554,tulsa
555,pride
556,DEFINITELY
557,best
558,part
559,day
560,Tulsa
561,Pride
562,Parade
563,Oklahoma
564,screws
565,money
566,making
567,Before
568,long
569,one
570,want
571,come
572,fixthisshit
573,votejoeexotichttp
574,story=38329472
575,catId=112042
576,USDA
577,President
578,lifts
579,restrictions
580,small
581,exhibitors
582,This
583,needs
584,shared
585,thousands
586,times
587,story_fbid=2148226968538445
588,id=580813935279764
589,USDA
590,President
591,lifts
592,restrictions
593,small
594,exhibitors
595,This
596,needs
597,shared
598,thousands
599,times
600,USDA
601,President
602,lifts
603,restrictions
604,small
605,exhibitors
606,This
607,needs
608,shared
609,thousands
610,times
611,story_fbid=1808078609251305
612,id=506410132751499
613,Get
614,board
615,New
616,Oklahoma
617,Tulsa
618,Pride
619,parade
620,tomorrow
621,June
622,2
623,Come
624,party
625,You
626,NO
627,LONGER
628,USDA
629,exhibit
630,8
631,animals
632,less
633,NOT
634,dangerous
635,Go
636,Trump
637,lets
638,get
639,Governor
640,story_fbid=2148091698551972
641,id=580813935279764
642,You
643,NO
644,LONGER
645,USDA
646,exhibit
647,8
648,animals
649,less
650,NOT
651,dangerous
652,Go
653,Trump
654,lets
655,get
656,Governor
657,story_fbid=1807952549263911
658,id=506410132751499
659,You
660,NO
661,LONGER
662,USDA
663,exhibit
664,8
665,animals
666,less
667,NOT
668,dangerous
669,Go
670,Trump
671,lets
672,get
673,Governor
674,What
675,big
676,corporations
677,communities
678,1=move
679,2=get
680,tax
681,breaks
682,3=
683,close
684,small
685,businesses
686,4=fire
687,people
688,retirement
689,6=
690,file
691,bankruptcy
692,7=
693,move
694,8=
695,leave
696,community
697,ghost
698,town
699,fixthisshit
700,Team
701,USZA
702,pulled
703,47
704,hour
705,round
706,trip
707,rescue
708,14
709,animals
710,Stay
711,tuned
712,Just
713,Walmart
714,may
715,cause
716,many
717,animals
718,may
719,Euthanized
720,(
721,Details
722,live
723,video
724,coming
725,fixthisshit
726,The
727,Oklahoma
728,Press
729,Association
730,Gubernatorial
731,Candidate
732,Forum
733,two
734,weeks
735,away
736,We
737,plan
738,begin
739,1:45
740,p.m.
741,South
742,Event
743,Center
744,Grand
745,Casino
746,Hotel
747,Resort
748,Shawnee
749,approximately
750,75
751,Oklahoma
752,newspaper
753,publishers
754,editors
755,Would
756,boycott
757,Walmart
758,found
759,cause
760,60
761,tigers
762,starving
763,death
764,story_fbid=1806725142719985
765,id=506410132751499
766,Would
767,boycott
768,Walmart
769,found
770,cause
771,60
772,tigers
773,starving
774,death
775,story_fbid=2146596845368124
776,id=580813935279764
777,Would
778,boycott
779,Walmart
780,found
781,cause
782,60
783,tigers
784,starving
785,death
786,Would
787,boycott
788,Walmart
789,found
790,cause
791,DEATH
792,60
793,Tigers
794,If
795,want
796,change
797,Oklahoma
798,must
799,get
800,4
801,weeks
802,vote
803,change
804,let
805,fixthisshit
806,together
807,change
808,Any
809,volunteers
810,Wynnewood
811,sulphur
812,davis
813,want
814,go
815,ride
816,Tulsa
817,Pride
818,parade
819,Saturday
820,Private
821,message
822,Need
823,6
824,people
825,One
826,question
827,asked
828,last
829,night
830,opinion
831,pipeline
832,education
833,jobs
834,=answer
835,We
836,need
837,plumber
838,States
839,pipeline
840,plugged
841,Why
842,would
843,want
844,vote
845,NO
846,SQ788
847,1-
848,Pharmaceutical
849,companies
850,make
851,money
852,Opiates
853,2-
854,Politicians
855,make
856,money
857,Pharmaceutical
858,companies
859,3-
860,County
861,City
862,Law
863,Enforcement
864,District
865,attorneys
866,pay
867,bills
868,arresting
869,weed
870,4-
871,Vote
872,yes
873,SQ788
874,end
875,$
876,Tonight
877,debate
878,story_fbid=10156557118108969
879,id=131443908968
880,voteforjoehttps
881,Tonight
882,debate
883,Enid
884,Oklahoma
885,went
886,well
887,pleased
888,many
889,older
890,folks
891,came
892,thanked
893,saying
894,thinking
895,Truth
896,matters
897,people
898,days
899,pretty
900,sure
901,got
902,Flush
903,current
904,Oklahoma
905,politics
906,fixthisshit
907,We
908,learn
909,Oklahoma
910,love
911,respect
912,like
913,animals
914,truthful
915,bullshit
916,fixthisshit
917,lets
918,make
919,Oklahoma
920,awesome
921,Looks
922,like
923,low
924,hanging
925,fruit
926,sure
927,Weather
928,donghttps
929,So
930,channel
931,4
932,OKC
933,says
934,10
935,%
936,chance
937,low
938,hanging
939,tornadoes
940,today
941,What
942,think
943,Lol
944,You
945,needed
946,laugh
947,thanks
948,Are
949,going
950,vote
951,June
952,26th
953,SQ788
954,Joe
955,Exotic
956,going
957,allow
958,run
959,lives
960,another
961,4
962,years
963,raise
964,taxes
965,You
966,awesome
967,Holiday
968,Weekend
969,Party
970,dogs
971,drive
972,safe
973,need
974,stay
975,alive
976,If
977,think
978,election
979,joke
980,think
981,back
982,Watch
983,last
984,debate
985,see
986,call
987,fixthisshit
988,votejoeexotic
989,story_fbid=1803035489755617
990,id=506410132751499
991,If
992,think
993,election
994,joke
995,think
996,back
997,Watch
998,last
999,debate
1000,see
1001,call
1002,fixthisshit
1003,votejoeexotic
1004,story_fbid=2141911939169948
1005,id=580813935279764
1006,If
1007,think
1008,election
1009,joke
1010,think
1011,back
1012,Watch
1013,last
1014,debate
1015,see
1016,call
1017,fixthisshit
1018,votejoeexotic
1019,If
1020,think
1021,election
1022,joke
1023,think
1024,back
1025,Watch
1026,last
1027,debate
1028,see
1029,call
1030,fixthisshit
1031,votejoeexotic
1032,Go
1033,watch
1034,see
1035,stick
1036,people
1037,Go
1038,1hr
1039,21
1040,minutes
1041,it.https
1042,v=8lu5a9GLyc0
1043,Oklahoma
1044,While
1045,traveling
1046,weekend
1047,stop
1048,zoo
1049,exit
1050,64
1051,I-35
1052,pick
1053,yard
1054,signs
1055,visit
1056,Age
1057,two
1058,adult
1059,people
1060,love
1061,numbers
1062,Time
1063,live
1064,let
1065,live
1066,promise
1067,win
1068,election
1069,going
1070,freedom
1071,ever
1072,Medical
1073,Marijuana
1074,Politicians
1075,lie
1076,get
1077,vote
1078,But
1079,want
1080,vote
1081,YES
1082,story_fbid=2140341575993651
1083,id=580813935279764
1084,Do
1085,forget
1086,show
1087,tweet
1088,get
1089,50
1090,%
1091,tours
1092,play
1093,baby
1094,tigers
1095,weekend
1096,35
1097,exit
1098,64
1099,Another
1100,school
1101,shooting
1102,today
1103,It
1104,fad
1105,problem
1106,Get
1107,news
1108,fad
1109,dies
1110,feeling
1111,domestic
1112,situation
1113,got
1114,hand
1115,Assailant
1116,reportedly
1117,eye/ear
1118,protection
1119,victims
1120,targeted
1121,Definitely
1122,toxic
1123,masculinity
1124,play
1125,Hope
1126,victims
1127,pull
1128,Shooting
1129,OKC
1130,The
1131,one
1132,dead
1133,shooter
1134,thanks
1135,1=
1136,good
1137,people
1138,carry
1139,guns
1140,also
1141,2=
1142,restaurants
1143,gun
1144,free
1145,zones
1146,=Lives
1147,saved
1148,tonight
1149,This
1150,FUCKTARD
1151,thinks
1152,sign
1153,contract
1154,Fuck
1155,sign
1156,something
1157,stupid
1158,private
1159,club
1160,smart
1161,enough
1162,know
1163,lower
1164,taxes
1165,hell
1166,going
1167,fix
1168,shit
1169,taxes
1170,They
1171,want
1172,taxes
1173,need
1174,They
1175,lied
1176,asses
1177,last
1178,night
1179,forum
1180,Claremore
1181,Oklahoma
1182,They
1183,lied
1184,asses
1185,last
1186,night
1187,forum
1188,Claremore
1189,Oklahoma
1190,Saddens
1191,see
1192,public
1193,lied
1194,bad
1195,personal
1196,agendahttps
1197,90
1198,%
1199,governor
1200,candidates
1201,lied
1202,asses
1203,crowd
1204,tonight
1205,SQ788
1206,keep
1207,voting
1208,yes
1209,fixthisshit
1210,Really
1211,Facebook
1212,Advertising
1213,meth
1214,pipes
1215,You
1216,must
1217,love
1218,Mark
1219,Zuckerberg
1220,make
1221,buck
1222,Supporters
1223,Washington
1224,DC
1225,caught
1226,loves
1227,way
1228,Claremore
1229,Best
1230,damn
1231,water
1232,ever
1233,taste
1234,griffith_clete
1235,want
1236,know
1237,water
1238,taste
1239,like
1240,winninghttps
1241,Smoke
1242,Joe
1243,chase
1244,Joe
1245,spring
1246,Claremore
1247,Oklahoma
1248,tonight
1249,6pm
1250,Robson
1251,Performing
1252,Art
1253,Center
1254,Come
1255,listen
1256,debate
1257,get
1258,free
1259,signs
1260,stuff
1261,calm
1262,professional
1263,On
1264,June
1265,26th
1266,2018
1267,choice
1268,want
1269,life
1270,decisions
1271,made
1272,people
1273,So
1274,vote
1275,yes
1276,SQ788
1277,Joe
1278,Exotic
1279,let
1280,make
1281,Oklahoma
1282,Thank
1283,youhttps
1284,The
1285,new
1286,Government
1287,Oklahoma
1288,got
1289,Hell
1290,ya
1291,Welcome
1292,2018
1293,We
1294,need
1295,raise
1296,$
1297,1700.00
1298,May
1299,28th
1300,marketing
1301,material
1302,Tulsa
1303,Parade
1304,OKC
1305,Parade
1306,spare
1307,5.00
1308,go
1309,http
1310,retweet
1311,please
1312,Raised
1313,$
1314,250.00
1315,last
1316,request
1317,need
1318,raise
1319,$
1320,1700.00
1321,Tulsa
1322,Parade
1323,June
1324,2nd
1325,get
1326,marketing
1327,material
1328,10
1329,thousand
1330,voters
1331,Very
1332,important
1333,win
1334,Primaries
1335,SQ788
1336,take
1337,http
1338,Memorial
1339,Day
1340,Weekend
1341,come
1342,take
1343,tour
1344,show
1345,tweet
1346,50
1347,%
1348,whole
1349,day
1350,Play
1351,baby
1352,tigers
1353,camels
1354,lemurs
1355,The
1356,rest
1357,America
1358,would
1359,like
1360,demand
1361,courts
1362,fucking
1363,crooked
1364,Any
1365,answers
1366,Mr.
1367,PRES
1368,Claremore
1369,Oklahoma
1370,Wednesday
1371,6pm
1372,want
1373,come
1374,forum
1375,pick
1376,yard
1377,signs
1378,free
1379,stuff
1380,Robson
1381,Performing
1382,Arts
1383,Center
1384,101
1385,E.
1386,Stuart
1387,Roosa
1388,Claremore
1389,Oklahoma
1390,74017
1391,Vote
1392,yes
1393,SQ788
1394,Oklahoma
1395,June
1396,26
1397,$
1398,10.00
1399,$
1400,15.00
1401,hour
1402,fast
1403,food
1404,help
1405,wanted
1406,signs
1407,Still
1408,cant
1409,find
1410,help
1411,Vote
1412,Joe
1413,Exotic
1414,fixthisshit
1415,Tweakers
1416,non
1417,workers
1418,Prayers
1419,families
1420,lost
1421,loved
1422,ones
1423,today
1424,Trust
1425,know
1426,pain
1427,We
1428,able
1429,finish
1430,Primaries
1431,election
1432,aprox
1433,$
1434,2000.00
1435,marketing
1436,things
1437,The
1438,2
1439,biggest
1440,Parades
1441,Oklahoma
1442,around
1443,corner
1444,need
1445,make
1446,count
1447,Please
1448,help
1449,donate
1450,anything
1451,http
1452,We
1453,able
1454,finish
1455,Primaries
1456,election
1457,aprox
1458,$
1459,2000.00
1460,marketing
1461,things
1462,The
1463,2
1464,biggest
1465,Parades
1466,Oklahoma
1467,around
1468,corner
1469,need
1470,make
1471,count
1472,Please
1473,help
1474,donate
1475,anything
1476,http
1477,It
1478,sad
1479,society
1480,made
1481,children
1482,terrorists
1483,So
1484,Rex
1485,supporters
1486,crying
1487,behind
1488,say
1489,make
1490,bawl
1491,We
1492,got
1493,enough
1494,followers
1495,bust
1496,shit
1497,Go
1498,votehttps
1499,What
1500,Instagram
1501,people
1502,troll
1503,pictures
1504,account
1505,locked
1506,This
1507,morning
1508,great
1509,Grandpa
1510,4
1511,new
1512,Oklahoma
1513,tax
1514,commission
1515,touch
1516,sent
1517,renewal
1518,registration
1519,boat
1520,sold
1521,11
1522,years
1523,ago
1524,fixthisshit
1525,So
1526,everyone
1527,read
1528,names
1529,losers
1530,picking
1531,Joe
1532,voteforjoe2018
1533,Grandpa
1534,Let
1535,take
1536,Mansion
1537,Vote
1538,Joe
1539,Do
1540,realize
1541,loose
1542,3
1543,acres
1544,farm
1545,Land
1546,every
1547,minute
1548,building
1549,houses
1550,roads
1551,population
1552,http
1553,Now
1554,know
1555,like
1556,putting
1557,people
1558,prison
1559,non-violent
1560,crimes.http
1561,This
1562,guy
1563,ass
1564,He
1565,mad
1566,Husband
1567,got
1568,kicked
1569,University
1570,Tulsa
1571,However
1572,believe
1573,right
1574,die
1575,quality
1576,life
1577,gone
1578,like
1579,Oregon
1580,know
1581,want
1582,veggie
1583,nursing
1584,home
1585,50
1586,people
1587,go
1588,rest
1589,please
1590,Vote
1591,exotichttps
1592,Amazing
1593,travel
1594,moon
1595,ca
1596,watch
1597,satellite
1598,TV
1599,rain
1600,Joe
1601,go
1602,Chapo
1603,Here
1604,sample
1605,ballot
1606,June
1607,26
1608,fixthisshit
1609,vote
1610,Joe
1611,All
1612,people
1613,got
1614,rolling
1615,papers
1616,shirts
1617,go
1618,vote
1619,lets
1620,win
1621,horse
1622,race.https
1623,You
1624,vote
1625,today
1626,When
1627,hate
1628,job
1629,Remember
1630,someone
1631,blur
1632,private
1633,parts
1634,Naked
1635,Afraid
1636,That
1637,must
1638,suck
1639,.lol
1640,fun
1641,Go
1642,read
1643,tell
1644,truth
1645,Get
1646,everyone
1647,vote
1648,Now
1649,need
1650,governor
1651,supports
1652,ME
1653,Shit
1654,guys
1655,sure
1656,hell
1657,going
1658,let
1659,bunch
1660,tight
1661,ass
1662,politicians
1663,beat
1664,us
1665,online
1666,poll
1667,Go
1668,Vote
1669,lets
1670,take
1671,Oklahoma
1672,stormhttps
1673,winning
1674,Last
1675,poll
1676,election
1677,Let
1678,fixthisshit
1679,show
1680,sick
1681,way
1682,run
1683,politicshttps
1684,Last
1685,poll
1686,election
1687,Let
1688,fixthisshit
1689,show
1690,election
1691,going
1692,happen
1693,Go
1694,Votehttps
1695,Happy
1696,mother
1697,day
1698,moms
1699,May
1700,day
1701,blessed
1702,When
1703,candidate
1704,uses
1705,honest
1706,hashtag
1707,possiblehttps
1708,My
1709,take
1710,Gov
1711,Fallins
1712,veto
1713,Constitutional
1714,Carry
1715,Here
1716,list
1717,money
1718,people
1719,power
1720,say
1721,constitutional
1722,rights
1723,Now
1724,'m
1725,interested
1726,feel.http
1727,This
1728,right
1729,shows
1730,need
1731,governor
1732,votes
1733,people
1734,fixthisshit
1735,votejoeexotic
1736,http
1737,Not
1738,GOP
1739,Here
1740,awesome
1741,interview
1742,show
1743,vote
1744,me.http
1745,EVERYONE
1746,go
1747,find
1748,somewhere
1749,petition
1750,SQ797
1751,fully
1752,legalize
1753,marijuana
1754,SQ796
1755,put
1756,medical
1757,marijuana
1758,constitution
1759,politicians
1760,cant
1761,change
1762,Lets
1763,fixthisshit
1764,So
1765,voting
1766,June
1767,26
1768,fixthisshit
1769,yes
1770,SQ788
1771,Thank
1772,God
1773,Oklahoma
1774,middle
1775,U.S
1776,When
1777,missiles
1778,start
1779,flying
1780,got
1781,best
1782,chance
1783,Then
1784,expand
1785,dust
1786,settles
1787,(
1788,Just
1789,joke
1790,CNN
1791,way
1792,fucking
1793,tight
1794,Nuclear
1795,shit
1796,POTUS
1797,)
1798,The
1799,power
1800,turning
1801,beast
1802,lover
1803,If
1804,tigers
1805,love
1806,like
1807,think
1808,teach
1809,Oklahoma
1810,Oklahoma
1811,Stand
1812,Your
1813,Own
1814,Ground
1815,State
1816,But
1817,trust
1818,DA
1819,Judge
1820,system
1821,find
1822,innocent
1823,stand
1824,ground
1825,protect
1826,sure
1827,fuck
1828,fixthisshithttp
1829,We
1830,home
1831,stretch
1832,Election
1833,June
1834,26th
1835,got
1836,marketing
1837,$
1838,5.00
1839,$
1840,10.00
1841,worth
1842,voice
1843,saving
1844,rights
1845,Please
1846,donate
1847,http
1848,Registered
1849,Oklahoma
1850,Libertarians
1851,vote
1852,joe_exotic
1853,June
1854,26th
1855,fixthisshit
1856,The
1857,way
1858,read
1859,fuck
1860,elderly
1861,disabled
1862,give
1863,bonus
1864,breed
1865,people
1866,OMG
1867,fixthisshithttp
1868,Who
1869,hell
1870,needs
1871,taxpayer
1872,security
1873,walking
1874,next
1875,(
1876,One
1877,Tigers
1878,Paw
1879,)
1880,Its
1881,real
1882,'ve
1883,seen
1884,corruption
1885,first
1886,handhttps
1887,And
1888,resold.https
1889,Should
1890,Oklahoma
1891,legalize
1892,marijuana
1893,medical
1894,recreational
1895,States
1896,This
1897,Oklahoma
1898,treats
1899,small
1900,businesses
1901,Go
1902,read
1903,joe_exotic
